NP_387882.1	BSU00010	dnaA
YP_003097726.1	BSU14629	rgpA
NP_389346.1	BSU14630	speA
NP_389347.1	BSU14640	yktA
NP_389348.1	BSU14650	yktB
NP_389349.1	BSU14660	ykzI
NP_389350.1	BSU14670	suhB
NP_389351.1	BSU14680	ykzC
NP_389352.1	BSU14690	yktD
NP_389353.1	BSU14700	nprE
NP_389354.1	BSU14710	ylaA
NP_389355.1	BSU14720	ylaB
NP_389356.1	BSU14730	sigP
NP_389357.1	BSU14740	sigQ
NP_389358.1	BSU14750	ylaE
NP_389359.1	BSU14760	ylaF
NP_389360.1	BSU14770	bipA
NP_389361.1	BSU14780	ylaH
NP_389362.1	BSU14790	ylaI
NP_389363.1	BSU14800	ylaJ
NP_389364.1	BSU14810	ylaK
NP_389365.1	BSU14820	ylaL
NP_389366.1	BSU14830	glsB
NP_389367.1	BSU14840	ylaN
NP_389368.1	BSU14850	ftsW
NP_389369.1	BSU14860	pycA
NP_389370.1	BSU14870	ctaA
NP_389371.1	BSU14880	ctaB
NP_389372.1	BSU14890	ctaC
NP_389373.2	BSU14900	ctaD
NP_389374.1	BSU14910	ctaE
NP_389375.1	BSU14920	ctaF
NP_389376.1	BSU14930	ctaG
NP_389377.1	BSU14940	ylbA
NP_389378.2	BSU14950	ylbB
NP_389379.1	BSU14960	ylbC
NP_389380.1	BSU14970	ylbD
NP_389381.1	BSU14980	ylbE
NP_389382.1	BSU14990	ricF
NP_389383.1	BSU15000	ylbG
NP_389384.2	BSU15010	rsmD
NP_389385.1	BSU15020	coaD
NP_389386.1	BSU15030	spoVV
NP_389387.1	BSU15040	ylbK
NP_389388.2	BSU15050	ylbL
NP_389389.1	BSU15060	ylbM
YP_003097727.1	BSU15069	ylzH
NP_389390.1	BSU15070	ylbN
NP_389391.1	BSU15080	rpmF
NP_389392.1	BSU15090	gerR
NP_389393.2	BSU15100	ylbP
NP_389394.1	BSU15110	panE
NP_389395.2	BSU15120	bshC
NP_389396.1	BSU15130	mraZ
NP_389397.1	BSU15140	rsmH
NP_389398.1	BSU15150	ftsL
NP_389399.2	BSU15160	pbpB
NP_389400.2	BSU15170	spoVD
NP_389401.1	BSU15180	murE
NP_389402.2	BSU15190	mraY
NP_389403.1	BSU15200	murD
NP_389404.1	BSU15210	spoVE
NP_389405.2	BSU15220	murG
NP_389406.1	BSU15230	murB
NP_389407.1	BSU15240	divIB
NP_389408.2	BSU15250	ylxW
NP_389409.2	BSU15260	ylxX
NP_389410.1	BSU15270	sbp
NP_389411.2	BSU15280	ftsA
NP_389412.2	BSU15290	ftsZ
NP_389413.1	BSU15300	bpr
NP_389414.1	BSU15310	spoIIGA
NP_389415.2	BSU15320	sigE
NP_389416.1	BSU15330	sigG
NP_389417.2	BSU15340	ylmA
NP_389418.2	BSU15350	thiQ
NP_389419.1	BSU15360	ylmC
NP_389420.1	BSU15370	ylmD
NP_389421.1	BSU15380	ylmE
NP_389422.3	BSU15390	sepF
NP_389423.1	BSU15400	ylmG
NP_389424.1	BSU15410	ylmH
NP_389425.1	BSU15420	divIVA
NP_389426.2	BSU15430	ileS
NP_389427.2	BSU15440	ylyA
NP_389428.1	BSU15450	lspA
NP_389429.3	BSU15460	rluD
NP_389430.1	BSU15470	pyrR
NP_389431.2	BSU15480	pyrP
NP_389432.2	BSU15490	pyrB
NP_389433.2	BSU15500	pyrC
NP_389434.1	BSU15510	pyrAA
NP_389435.1	BSU15520	pyrAB
NP_389436.1	BSU15530	pyrK
NP_389437.1	BSU15540	pyrD
NP_389438.1	BSU15550	pyrF
NP_389439.1	BSU15560	pyrE
NP_389440.1	BSU15570	cysH
NP_389441.1	BSU15580	cysP
NP_389442.1	BSU15590	sat
NP_389443.1	BSU15600	cysC
NP_389444.1	BSU15610	sumT
NP_389445.1	BSU15620	sirB
NP_389446.1	BSU15630	sirC
NP_389447.1	BSU15640	fbnA
NP_389448.1	BSU15650	tcaB
NP_389449.1	BSU15660	yloC
NP_570902.1	BSU15670	remA
NP_389450.2	BSU15680	gmk
NP_389451.1	BSU15690	rpoZ
NP_389452.1	BSU15700	coaBC
NP_389453.1	BSU15710	priA
NP_389454.1	BSU15720	defA
NP_389455.1	BSU15730	fmt
NP_389456.1	BSU15740	rsmB
NP_389457.1	BSU15750	rlmN
NP_389458.1	BSU15760	prpC
NP_389459.1	BSU15770	prkC
NP_389460.1	BSU15780	rsgA
NP_389461.1	BSU15790	rpe
NP_389462.1	BSU15800	thiN
NP_389463.1	BSU15810	spoVM
NP_389464.1	BSU15820	rpmB
NP_389465.1	BSU15830	yloU
NP_389466.1	BSU15840	yloV
NP_389467.1	BSU15850	sdaAB
NP_389468.1	BSU15860	sdaAA
NP_389469.1	BSU15870	recG
NP_389470.1	BSU15880	fapR
NP_389471.1	BSU15890	plsX
NP_389472.1	BSU15900	fabD
NP_389473.1	BSU15910	fabG
NP_389474.1	BSU15920	acpA
NP_389475.1	BSU15930	rnc
NP_389476.2	BSU15940	smc
NP_389477.1	BSU15950	ftsY
NP_389478.1	BSU15960	ylqB
NP_389479.1	BSU15970	ylxM
NP_389480.1	BSU15980	ffh
NP_389481.1	BSU15990	rpsP
NP_389482.1	BSU16000	ylqC
NP_389483.1	BSU16010	ylqD
NP_389484.1	BSU16020	rimM
NP_389485.1	BSU16030	trmD
NP_389486.2	BSU16040	rplS
NP_389487.1	BSU16050	rbgA
NP_389488.1	BSU16060	rnhB
NP_389489.1	BSU16070	ylqG
NP_389490.1	BSU16080	ylqH
NP_389491.1	BSU16090	sucC
NP_389492.1	BSU16100	sucD
NP_389493.1	BSU16110	dprA
NP_389494.1	BSU16120	topA
NP_389495.1	BSU16130	trmFO
NP_389496.1	BSU16140	codV
NP_389497.1	BSU16150	clpQ
NP_389498.1	BSU16160	clpY
NP_389499.1	BSU16170	codY
NP_389500.1	BSU16180	flgB
NP_389501.1	BSU16190	flgC
NP_389502.1	BSU16200	fliE
NP_389503.1	BSU16210	fliF
NP_389504.1	BSU16220	fliG
NP_389505.2	BSU16230	fliH
NP_389506.2	BSU16240	fliI
NP_389507.1	BSU16250	fliJ
NP_389508.2	BSU16260	ylxF
NP_389509.2	BSU16270	fliK
NP_389510.1	BSU16280	flgD
NP_389511.2	BSU16290	flgE
YP_003097728.1	BSU16299	swrD
NP_389512.1	BSU16300	fliL
NP_389513.1	BSU16310	fliM
NP_389514.1	BSU16320	fliY
NP_389515.1	BSU16330	cheY
NP_389516.1	BSU16340	fliZ
NP_389517.1	BSU16350	fliP
NP_389518.1	BSU16360	fliQ
NP_389519.2	BSU16370	fliR
NP_389520.1	BSU16380	flhB
NP_389521.2	BSU16390	flhA
NP_389522.1	BSU16400	flhF
NP_389523.1	BSU16410	flhG
NP_389524.2	BSU16420	cheB
NP_389525.2	BSU16430	cheA
NP_389526.1	BSU16440	cheW
NP_389527.1	BSU16450	cheC
NP_389528.1	BSU16460	cheD
NP_389529.1	BSU16470	sigD
NP_389530.1	BSU16480	swrB
NP_389531.1	BSU16490	rpsB
NP_389532.1	BSU16500	tsf
NP_389533.2	BSU16510	pyrH
NP_389534.1	BSU16520	frr
NP_389535.1	BSU16530	uppS
NP_389536.1	BSU16540	cdsA
NP_389537.2	BSU16550	dxr
NP_389538.1	BSU16560	rasP
NP_389539.1	BSU16570	proS
NP_389540.1	BSU16580	polC
NP_389541.1	BSU16590	rimP
NP_389542.1	BSU16600	nusA
NP_389543.1	BSU16610	rulR
NP_389544.1	BSU16620	rulQ
NP_389545.1	BSU16630	infB
NP_389547.1	BSU16650	rbfA
NP_389548.1	BSU16660	truB
NP_389549.1	BSU16670	ribC
NP_389550.1	BSU16680	rpsO
NP_389551.1	BSU16690	pnpA
NP_389552.1	BSU16700	ylxY
NP_389553.2	BSU16710	mlpA
NP_389554.1	BSU16720	ymxH
NP_389555.1	BSU16730	spoVFA
NP_389556.1	BSU16740	spoVFB
NP_389557.1	BSU16750	asd
NP_389558.2	BSU16760	dapG
NP_389559.1	BSU16770	dapA
NP_389560.2	BSU16780	rnjB
NP_389561.3	BSU16790	tepA
YP_003097729.1	BSU16799	tepJ
NP_389562.3	BSU16800	spoIIIE
NP_389563.1	BSU16810	ymfC
NP_389564.2	BSU16825	bcbE
NP_389566.2	BSU16845	ymfF
NP_389568.2	BSU16860	ymfH
NP_389569.2	BSU16870	efpI
NP_389570.1	BSU16880	ymfJ
NP_389573.3	BSU16910	rodZ
NP_389574.2	BSU16920	pgsA
NP_389575.2	BSU16930	cinA
NP_389576.2	BSU16940	recA
NP_389577.1	BSU16950	pbpX
NP_389578.1	BSU16960	rny
NP_389579.2	BSU16970	pdeB
NP_389580.1	BSU16980	spoVS
NP_389581.1	BSU16990	tdh
NP_389582.1	BSU17000	kbl
NP_389583.1	BSU17010	miaB
NP_389584.1	BSU17020	ricA
NP_389585.1	BSU17030	cotE
NP_389586.2	BSU17040	mutS
NP_389587.1	BSU17050	mutL
YP_054578.1	BSU17060	ymzD
NP_389588.1	BSU17070	ymcC
NP_389589.1	BSU17080	pksA
NP_389590.1	BSU17090	pksB
YP_009513956.1	BSU17099	NODATA
NP_389591.1	BSU17100	pksC
NP_389592.2	BSU17110	pksD
NP_389593.3	BSU17120	pksE
NP_570904.1	BSU17130	acpK
NP_389594.2	BSU17140	pksF
NP_389595.2	BSU17150	pksG
NP_389596.1	BSU17160	pksH
NP_389597.2	BSU17170	pksI
NP_389598.3	BSU17180	pksJ
NP_389600.3	BSU17190	pksL
NP_389601.3	BSU17200	pksM
NP_389602.3	BSU17210	pksN
NP_389604.2	BSU17220	pksR
NP_389605.2	BSU17230	pksS
NP_389606.3	BSU17240	ymzB
NP_389607.2	BSU17250	ymaE
NP_389608.1	BSU17260	aprX
NP_389609.1	BSU17270	pghC
NP_389610.1	BSU17280	ymaD
NP_389611.1	BSU17290	ebrB
NP_389612.1	BSU17300	ebrA
NP_389613.2	BSU17310	ymaG
NP_389614.2	BSU17320	ymaF
NP_389615.2	BSU17330	miaA
NP_389616.1	BSU17340	hfq
NP_389617.1	BSU17350	ymzC
NP_389618.1	BSU17360	ymzA
NP_389619.1	BSU17370	nrdI
NP_389620.1	BSU17380	nrdE
NP_389621.1	BSU17390	nrdF
NP_389622.1	BSU17400	ymaB
NP_389623.2	BSU17410	cwlC
NP_389624.2	BSU17420	spoVK
NP_389625.2	BSU17430	hflX
NP_389626.2	BSU17440	ynbB
NP_389627.1	BSU17450	glnR
NP_389628.1	BSU17460	glnA
NP_389629.1	BSU17470	ynxB
NP_389630.1	BSU17480	ynzF
NP_389631.1	BSU17490	ynzG
NP_389632.2	BSU17500	ynaB
NP_389633.1	BSU17510	ynaC
NP_389634.1	BSU17520	ynaD
NP_389635.1	BSU17530	ynaE
NP_389636.1	BSU17540	ynaF
NP_389637.1	BSU17550	ynaG
YP_003097730.1	BSU17559	ynzI
NP_389638.3	BSU17560	ynaI
NP_389639.2	BSU17570	xynP
NP_389640.2	BSU17580	xynB
NP_389641.3	BSU17590	xylR
NP_389642.2	BSU17600	xylA
NP_389643.1	BSU17610	xylB
NP_389644.1	BSU17620	yncB
NP_389645.2	BSU17630	yncC
NP_389646.1	BSU17640	alrB
NP_389648.2	BSU17650	yncE
NP_389649.1	BSU17660	dutA
NP_389650.1	BSU17670	cotU
YP_009513957.1	BSU17679	NODATA
NP_389651.1	BSU17680	thyA
YP_009513958.1	BSU17689	NODATA
NP_389652.2	BSU17690	yncM
YP_003097731.1	BSU17699	ynzK
NP_389653.2	BSU17700	cotC
NP_389654.1	BSU17710	tatAC
YP_009513959.1	BSU17715	NODATA
NP_389655.1	BSU17720	yndA
NP_389656.1	BSU17730	flvS
NP_389657.2	BSU17740	ynzB
NP_389658.1	BSU17750	yndD
NP_389659.1	BSU17760	yndE
NP_389660.1	BSU17770	yndF
NP_389661.1	BSU17780	yndG
NP_389662.1	BSU17790	yndH
NP_389663.1	BSU17800	yndJ
NP_389664.1	BSU17810	yndK
NP_389665.1	BSU17820	pghL
NP_389666.1	BSU17830	yndM
NP_389667.1	BSU17840	fosB
YP_009513960.1	BSU17845	yzzP
NP_389668.1	BSU17850	lexA
NP_389669.1	BSU17860	dinK
NP_389670.1	BSU17870	dinL
NP_389671.1	BSU17880	ynzC
NP_389672.1	BSU17890	tktA
NP_389673.1	BSU17900	pcfA
NP_389674.1	BSU17910	yneF
NP_389675.1	BSU17920	spo0D
NP_389676.1	BSU17930	ccdA
NP_389677.1	BSU17940	yneI
NP_389678.1	BSU17950	yneJ
NP_389679.1	BSU17960	yneK
NP_389680.1	BSU17970	cotM
NP_389681.1	BSU17980	sspP
NP_389682.1	BSU17990	sspO
NP_389683.1	BSU18000	citB
NP_389684.1	BSU18010	yneN
YP_003097732.1	BSU18019	ynzL
YP_054579.2	BSU18020	sspN
NP_389685.1	BSU18030	sspT
YP_054580.1	BSU18040	yneP
NP_389687.1	BSU18050	yneQ
NP_389688.1	BSU18060	yneR
NP_389689.1	BSU18070	plsY
NP_389690.1	BSU18080	yneT
NP_389691.2	BSU18090	parE
NP_389692.2	BSU18100	parC
NP_389694.1	BSU18120	alsT
NP_389695.2	BSU18130	eglS
NP_389696.1	BSU18140	ynfE
NP_389697.1	BSU18150	xynC
NP_389698.1	BSU18160	xynD
NP_389699.1	BSU18170	yngA
NP_389700.1	BSU18180	yngB
NP_389701.1	BSU18190	yngC
NP_389702.1	BSU18200	nrnB
NP_389703.2	BSU18210	ldeE
NP_389704.1	BSU18220	ldeF
NP_389705.1	BSU18230	ldeG
YP_003097733.1	BSU18239	lgeHB
NP_389706.1	BSU18240	ldeHA
NP_389707.1	BSU18250	ldeI
NP_389708.1	BSU18260	ldeJ
NP_389709.1	BSU18270	ynzE
YP_009513961.1	BSU18275	NODATA
NP_389710.1	BSU18280	yngK
NP_389711.1	BSU18290	yngL
NP_389712.1	BSU18300	ppsE
NP_389713.2	BSU18310	ppsD
NP_389714.1	BSU18320	ppsC
NP_389715.1	BSU18330	ppsB
NP_389716.2	BSU18340	ppsA
NP_389717.1	BSU18350	dacC
NP_389718.1	BSU18360	galM
NP_389719.2	BSU18370	yoeA
NP_389720.2	BSU18380	iseA
NP_389721.2	BSU18390	yoeC
NP_389722.1	BSU18400	yoeD
NP_389723.1	BSU18410	ggt
NP_389724.1	BSU18420	ftsR
NP_389725.1	BSU18430	yogA
NP_389726.2	BSU18440	gltB
NP_389727.2	BSU18450	gltA
NP_389728.2	BSU18460	gltC
NP_389729.1	BSU18470	proJ
NP_389730.2	BSU18480	proH
NP_389731.1	BSU18490	rtp
NP_389732.1	BSU18500	yoxD
NP_389733.1	BSU18510	yoxC
NP_389734.1	BSU18520	yoxB
NP_389735.2	BSU18530	yoaA
NP_389736.1	BSU18540	yoaB
NP_389737.1	BSU18550	yoaC
NP_389738.1	BSU18560	yoaD
NP_389739.2	BSU18570	yoaE
NP_389740.1	BSU18580	yoaF
NP_389741.1	BSU18590	yoaG
YP_009513962.1	BSU18595	NODATA
YP_009513963.1	BSU18596	NODATA
YP_054581.1	BSU18600	yozQ
NP_389742.2	BSU18610	yoaH
NP_389743.2	BSU18620	yoaI
NP_389744.1	BSU18630	exlX
NP_389745.1	BSU18640	yoaK
NP_389746.1	BSU18650	pelB
NP_389747.1	BSU18660	yoaM
YP_003097734.1	BSU18669	yozS
NP_389748.1	BSU18670	oxdD
NP_389749.1	BSU18680	yoaO
YP_009513964.1	BSU18689	NODATA
NP_389750.1	BSU18690	yoaP
NP_389751.1	BSU18700	yoaQ
YP_003097735.1	BSU18709	yozT
NP_389752.2	BSU18710	yozF
NP_389753.1	BSU18720	yoaR
NP_389754.1	BSU18730	yoaS
NP_389755.1	BSU18740	yozG
NP_389756.1	BSU18750	yoaT
NP_389757.1	BSU18760	yoaU
NP_389758.1	BSU18770	yoaV
NP_389759.1	BSU18780	yoaW
NP_389760.1	BSU18790	yoaZ
NP_389761.1	BSU18800	penP
NP_389762.1	BSU18810	yobA
NP_389763.1	BSU18820	yobB
NP_389764.1	BSU18830	yppS
NP_389765.1	BSU18840	xynA
YP_003097736.1	BSU18849	yozV
NP_389766.1	BSU18850	yobD
NP_389767.2	BSU18860	yozH
NP_389768.1	BSU18870	yozI
NP_389769.1	BSU18880	yobE
NP_389770.1	BSU18890	yobF
YP_003097737.1	BSU18898	yozW
YP_003097738.1	BSU18899	yozX
NP_389771.1	BSU18900	yozJ
YP_003097739.1	BSU18908	yozY
NP_389772.1	BSU18910	rapK
NP_389773.1	BSU18920	phrK
NP_389776.1	BSU18950	yozL
NP_389777.1	BSU18960	yozM
NP_389778.1	BSU18970	yobI
YP_009513965.1	BSU18978	bsrE
NP_389779.1	BSU18980	yobJ
NP_389780.1	BSU18990	rttM
NP_389781.1	BSU19000	rttL
NP_389782.3	BSU19010	yobM
NP_389783.2	BSU19020	yobN
NP_389784.1	BSU19030	yobO
NP_389785.1	BSU19040	csaA
NP_389786.1	BSU19050	yobQ
NP_389787.1	BSU19060	yobR
NP_389788.1	BSU19070	yobS
NP_389789.1	BSU19080	yobT
NP_389790.1	BSU19090	yobU
NP_389791.1	BSU19100	yobV
NP_389792.1	BSU19110	yobW
NP_389793.1	BSU19120	czrA
NP_389794.1	BSU19130	yocA
NP_389795.1	BSU19140	yozB
NP_389796.1	BSU19150	yocB
NP_389797.1	BSU19160	yocC
NP_389798.1	BSU19170	yocD
NP_389799.1	BSU19180	desE
NP_389800.1	BSU19190	desK
NP_389801.1	BSU19200	desR
NP_389802.1	BSU19210	walL
NP_389803.1	BSU19220	recQ
NP_389804.1	BSU19230	azoJ
NP_389805.2	BSU19240	yocK
NP_389806.1	BSU19250	yocL
YP_003097740.1	BSU19259	yoyB
NP_389808.1	BSU19260	yocM
NP_389809.1	BSU19270	yozN
NP_389810.1	BSU19280	yocN
NP_389811.1	BSU19290	yozO
NP_389812.1	BSU19300	yozC
NP_389813.1	BSU19310	dhaS
NP_389814.2	BSU19320	sqhC
NP_389815.1	BSU19330	sodF
NP_389816.1	BSU19340	yocR
NP_389817.1	BSU19350	yocS
NP_389818.2	BSU19360	odhB
NP_389819.3	BSU19370	odhA
NP_389820.2	BSU19380	yojO
NP_389821.1	BSU19390	yojN
NP_389822.1	BSU19400	sodC
NP_389823.1	BSU19410	cwlS
NP_389824.2	BSU19420	yojK
NP_389825.3	BSU19430	cdaS
NP_389826.1	BSU19440	mdtK
NP_389827.1	BSU19450	rsbRC
YP_054582.2	BSU19460	bshBB
NP_389829.1	BSU19470	yojF
YP_003097741.1	BSU19479	yoyC
NP_389830.2	BSU19480	yojE
YP_054583.1	BSU19490	gerT
NP_389832.1	BSU19510	yojB
NP_389833.1	BSU19520	yojA
NP_389834.1	BSU19530	yodA
NP_389835.1	BSU19540	arxR
NP_389836.1	BSU19550	noxC
NP_389837.1	BSU19560	yodD
NP_389838.1	BSU19570	yodE
YP_003097742.1	BSU19579	yoyD
NP_389839.1	BSU19580	yodF
NP_389840.1	BSU19590	ctpA
NP_389841.1	BSU19600	yodH
NP_389842.1	BSU19610	yodI
NP_389843.1	BSU19620	ldcB
NP_389844.1	BSU19630	deoD
YP_003097743.1	BSU19639	yoyE
NP_389845.2	BSU19640	yodL
NP_389846.1	BSU19650	pgpB
NP_389847.1	BSU19660	yozD
YP_003097744.1	BSU19669	yoyF
NP_389848.1	BSU19670	yodN
NP_389849.1	BSU19680	yozE
YP_003097745.1	BSU19689	yokU
NP_389850.1	BSU19690	kamA
NP_389851.1	BSU19700	kamB
NP_389852.1	BSU19710	yodQ
NP_389853.1	BSU19720	yodR
NP_389854.1	BSU19730	yodS
NP_389855.1	BSU19740	yodT
YP_009513966.1	BSU19745	NODATA
YP_003097746.2	BSU19749	yoyG
NP_389856.1	BSU19750	cgeE
NP_389857.1	BSU19760	cgeD
NP_389858.1	BSU19770	cgeC
NP_389859.1	BSU19780	cgeA
NP_389860.2	BSU19790	cgeB
NP_389861.1	BSU19800	phyC
NP_389863.1	BSU19820	sprB
NP_389864.1	BSU19830	yotM
NP_389865.1	BSU19840	yotL
NP_389866.1	BSU19850	yotK
NP_389867.1	BSU19860	yotJ
NP_389868.1	BSU19870	yotI
NP_389869.1	BSU19880	yotH
NP_389870.1	BSU19890	yotG
NP_389871.1	BSU19900	yotF
NP_389872.1	BSU19910	yotE
YP_009513967.1	BSU19915	NODATA
NP_389873.1	BSU19920	yotD
NP_389874.1	BSU19930	yotC
NP_389875.1	BSU19940	yotB
NP_389876.1	BSU19950	sspC
NP_389878.1	BSU19970	yosX
NP_389879.1	BSU19980	yosW
NP_389880.1	BSU19990	yosV
YP_003097747.1	BSU19999	yojW
NP_389881.1	BSU20000	yosU
NP_389882.1	BSU20010	yosT
NP_389883.1	BSU20020	dutB
NP_389886.2	BSU20040	nrdFB
NP_389885.1	BSU20050	yosQ
NP_389888.2	BSU20060	nrdEB
NP_389889.2	BSU20070	nrdIB
NP_389890.1	BSU20080	yosL
NP_389891.1	BSU20090	yosK
NP_389892.1	BSU20100	yosJ
NP_389893.1	BSU20110	yosI
NP_389894.1	BSU20120	yosH
NP_389895.1	BSU20130	yosG
NP_389896.1	BSU20140	yosF
NP_389897.1	BSU20150	yosE
NP_389898.1	BSU20160	yosD
NP_389899.1	BSU20170	yosC
NP_389900.1	BSU20180	yosB
NP_389901.1	BSU20190	yosA
NP_389902.1	BSU20200	yorZ
NP_389903.1	BSU20210	yorY
NP_389904.1	BSU20220	yorX
NP_389905.1	BSU20230	yorW
NP_389906.1	BSU20240	yorV
NP_389907.1	BSU20250	mtbP
NP_389908.1	BSU20260	yorT
NP_389909.1	BSU20270	yorS
NP_389910.1	BSU20280	yorR
NP_389911.1	BSU20290	yorQ
NP_389912.1	BSU20300	yorP
NP_389913.1	BSU20310	yorO
NP_389914.1	BSU20320	yorN
NP_389915.1	BSU20330	yorM
NP_389916.1	BSU20340	dpoL
NP_389917.1	BSU20350	yorK
NP_389918.1	BSU20360	yorJ
NP_389919.1	BSU20370	yorI
NP_389920.1	BSU20380	yorH
NP_389921.1	BSU20390	yorG
NP_389922.1	BSU20400	yorF
NP_389923.1	BSU20410	yorE
NP_389924.1	BSU20420	yorD
NP_389925.1	BSU20430	yorC
NP_389926.1	BSU20440	yorB
NP_389927.1	BSU20450	yorA
NP_389928.1	BSU20460	pghZ
NP_389929.1	BSU20470	yoqY
NP_389930.1	BSU20480	yoqX
NP_389931.1	BSU20490	yoqW
NP_389932.1	BSU20500	yoqV
NP_389933.1	BSU20510	yoqU
NP_389934.1	BSU20520	yoqT
NP_389935.1	BSU20530	yoqS
NP_389936.1	BSU20540	yoqR
NP_389937.1	BSU20550	yoqP
NP_389938.1	BSU20560	yoqO
NP_389939.1	BSU20570	yoqN
NP_389940.1	BSU20580	yoqM
NP_389941.1	BSU20590	yoqL
NP_389942.1	BSU20600	yoqK
NP_389943.1	BSU20610	yoqJ
NP_389944.1	BSU20620	yoqI
NP_389945.1	BSU20630	yoqH
NP_389946.1	BSU20640	yoqG
NP_389947.1	BSU20650	yoqF
NP_389948.1	BSU20660	yoqE
NP_389949.1	BSU20670	yoqD
NP_389950.1	BSU20680	yoqC
NP_389951.1	BSU20690	yoqB
NP_389952.1	BSU20700	yoqA
NP_389953.1	BSU20710	yopZ
NP_389954.1	BSU20720	yopY
NP_389955.1	BSU20730	yopX
NP_389956.1	BSU20740	yopW
NP_389957.1	BSU20750	yopV
NP_389958.1	BSU20760	yopU
NP_389959.1	BSU20770	yopT
NP_389960.1	BSU20780	yopS
NP_389961.2	BSU20790	yopR
NP_389962.1	BSU20800	yopQ
NP_389963.1	BSU20810	yopP
NP_389964.1	BSU20820	yopO
NP_389965.1	BSU20830	yopN
NP_389966.1	BSU20840	yopM
NP_389967.1	BSU20850	aimP
NP_389968.1	BSU20860	aimR
NP_389969.1	BSU20870	yopJ
NP_389970.1	BSU20880	yopI
NP_389971.1	BSU20890	sieB
NP_389972.1	BSU20900	yopG
NP_389973.1	BSU20910	yopF
NP_389974.1	BSU20920	yopE
YP_003097748.1	BSU20928	yoyH
YP_003097749.1	BSU20929	yoyI
NP_389976.1	BSU20930	yopD
NP_389977.1	BSU20940	yopC
NP_389978.1	BSU20950	yopB
NP_389979.1	BSU20960	yopA
NP_389980.1	BSU20970	yonX
NP_389981.1	BSU20980	yonV
NP_389982.1	BSU20990	yonU
YP_003097750.1	BSU20999	yoyJ
NP_389983.1	BSU21000	spbT
NP_389984.1	BSU21010	yonS
NP_389985.1	BSU21020	yonR
NP_389986.1	BSU21030	yonP
NP_389987.1	BSU21040	yonO
NP_389988.1	BSU21050	hupN
YP_009513968.1	BSU21058	NODATA
NP_389989.1	BSU21060	yonK
NP_389990.2	BSU21070	yonJ
NP_389991.1	BSU21080	yonI
NP_389992.1	BSU21090	yonH
NP_389993.1	BSU21100	yonG
NP_389994.1	BSU21110	yonF
NP_389995.1	BSU21120	yonE
NP_389996.1	BSU21130	yonD
NP_389997.1	BSU21140	yonC
NP_389998.1	BSU21150	yonB
NP_389999.1	BSU21160	yonA
NP_390000.1	BSU21170	yomZ
NP_390001.1	BSU21180	yomY
NP_390002.1	BSU21190	yomX
NP_390003.1	BSU21200	yomW
NP_390004.1	BSU21210	yomV
NP_390005.1	BSU21220	yomU
YP_003097751.1	BSU21229	youA
NP_390006.1	BSU21230	yomT
NP_390007.1	BSU21240	yomS
NP_390008.1	BSU21250	yomR
NP_390009.1	BSU21260	yomQ
NP_390010.1	BSU21270	yomP
NP_390011.1	BSU21280	yomO
NP_390012.1	BSU21290	yomN
NP_390013.1	BSU21300	yomM
NP_390014.1	BSU21310	yozP
NP_390015.1	BSU21320	yomL
YP_003097752.1	BSU21329	youB
NP_390016.1	BSU21330	yomK
NP_390017.1	BSU21340	yomJ
NP_390018.2	BSU21350	cwlP
NP_390019.1	BSU21360	yomH
NP_390020.1	BSU21370	yomG
NP_390021.1	BSU21380	yomF
NP_390022.1	BSU21390	yomE
NP_390023.1	BSU21400	yomD
YP_009513969.1	BSU21409	NODATA
NP_390024.1	BSU21410	blyA
NP_390025.1	BSU21420	bhlA
NP_390026.1	BSU21430	bhlB
NP_390027.1	BSU21440	bdbB
NP_390028.1	BSU21450	sunS
NP_390029.1	BSU21460	bdbA
NP_390030.1	BSU21470	sunT
NP_390031.1	BSU21480	sunA
NP_390032.1	BSU21490	sunI
NP_390033.2	BSU21500	uvrX
NP_390034.1	BSU21510	yolD
NP_390035.1	BSU21520	yolC
NP_390036.1	BSU21530	yolB
NP_390037.1	BSU21540	yolA
YP_009513970.1	BSU21546	bsrG
NP_390038.1	BSU21550	yokL
NP_390039.1	BSU21560	yokK
NP_390040.1	BSU21570	yokJ
NP_390041.2	BSU21580	yokI
NP_390042.1	BSU21590	yokH
NP_390043.1	BSU21600	yokG
NP_390044.1	BSU21610	nukF
NP_390045.1	BSU21620	yokE
NP_390046.1	BSU21630	aacD
YP_009513971.1	BSU21638	NODATA
YP_009513972.1	BSU21639	NODATA
NP_390047.1	BSU21640	yokC
NP_390048.1	BSU21650	yokB
NP_390049.1	BSU21660	sprA
NP_390051.1	BSU21680	msrB
NP_390052.1	BSU21690	msrA
NP_390053.1	BSU21700	ypoP
NP_390054.1	BSU21710	dinF
NP_390055.1	BSU21720	ypmT
NP_390056.1	BSU21730	ypmS
NP_390057.1	BSU21740	ypmR
NP_390058.2	BSU21750	scuA
NP_390059.1	BSU21760	ypmP
NP_390060.1	BSU21770	ilvA
NP_390061.1	BSU21780	silP
NP_390062.1	BSU21790	yplQ
NP_390063.2	BSU21800	ypkP
NP_390064.1	BSU21810	dfrA
NP_390065.1	BSU21820	thyB
NP_390066.1	BSU21830	ypjQ
NP_390067.1	BSU21840	ypjP
NP_390068.2	BSU21850	rsmJ
NP_390069.1	BSU21860	brxA
NP_390070.2	BSU21870	ilvD
NP_390071.1	BSU21880	ypgR
