NP_459006.1	STM0001	thrL
NP_460606.1	STM1647	ldhA
NP_460607.1	STM1648	hslJ
NP_460608.2	STM1649	NODATA
NP_460609.1	STM1650	NODATA
NP_460610.1	STM1651	nifJ
NP_460611.1	STM1652	ynaF
NP_460612.1	STM1653	NODATA
NP_460613.1	STM1654	ydaO
NP_460614.1	STM1655	dbpA
NP_460615.1	STM1656	NODATA
NP_460616.1	STM1657	NODATA
NP_460617.1	STM1658	ydaL
NP_460618.1	STM1659	ogt
NP_460619.3	STM1660	fnr
NP_460620.1	STM1661	ydaA
NP_460621.1	STM1662	ynaJ
NP_460622.1	STM1663	ynaI
NP_460623.1	STM1664	NODATA
NP_460624.1	STM1665	NODATA
NP_460625.1	STM1667	NODATA
NP_460626.1	STM1668	NODATA
NP_460627.1	STM1669	NODATA
NP_460628.1	STM1670	NODATA
NP_460629.1	STM1671	NODATA
NP_448089.1	STM1672	NODATA
NP_460631.3	STM1673	NODATA
NP_460632.1	STM1674	NODATA
NP_460633.1	STM1675	NODATA
NP_460634.1	STM1676	NODATA
NP_460635.1	STM1677	NODATA
NP_460636.1	STM1678	NODATA
NP_460637.1	STM1679	mppA
NP_460638.1	STM1680	ycjI
NP_460639.1	STM1681	ycjG
NP_460640.1	STM1682	tpx
NP_460641.1	STM1683	tyrR
NP_460642.1	STM1684	ycjF
NP_460643.3	STM1685	ycjX
NP_460644.1	STM1686	pspE
NP_460645.1	STM1687	pspD
NP_460646.1	STM1688	pspC
NP_460647.1	STM1689	pspB
NP_460648.1	STM1690	pspA
NP_460649.1	STM1691	pspF
NP_460650.1	STM1692	sapA
NP_460651.1	STM1693	sapB
NP_460652.1	STM1694	sapC
NP_460653.1	STM1695	sapD
NP_460654.1	STM1696	sapF
NP_460655.1	STM1697	NODATA
NP_460656.1	STM1698	NODATA
NP_460657.1	STM1698A	NODATA
NP_460658.1	STM1699	ycjE
NP_460659.1	STM1700	fabI
NP_460660.1	STM1701	yciW
NP_460661.1	STM1702	rnb
NP_460662.1	STM1703	yciR
NP_460663.1	STM1704	yciT
NP_460664.1	STM1705	osmB
NP_460665.1	STM1706	yciH
NP_460666.1	STM1707	pyrF
NP_460667.1	STM1708	yciM
NP_460668.1	STM1709	yciS
NP_460669.1	STM1710	pgpB
NP_460670.1	STM1711	ribA
NP_460671.1	STM1712	acnA
NP_460672.1	STM1713	cysB
NP_460673.1	STM1714	topA
NP_460674.1	STM1715	yciN
NP_460675.1	STM1716	sohB
NP_460676.1	STM1717	yciK
NP_460677.1	STM1718	btuR
NP_460678.1	STM1719	yciL
NP_460679.1	STM1720	yciO
NP_460680.1	STM1721	trpH
NP_448140.1	STM1722	trpL
NP_460682.1	STM1723	trpE
NP_460683.1	STM1724	trpD
NP_460684.1	STM1725	trpC
NP_460685.1	STM1726	trpB
NP_460686.1	STM1727	trpA
NP_460687.1	STM1728	yciG
NP_460688.1	STM1729	yciF
NP_460689.1	STM1730	yciE
NP_460690.1	STM1731	NODATA
NP_460691.1	STM1732	ompW
NP_460692.1	STM1733	NODATA
NP_460693.1	STM1734	yciC
NP_460694.1	STM1735	yciB
NP_460695.1	STM1736	yciA
NP_460696.1	STM1737	tonB
NP_460697.1	STM1738	yciI
NP_460698.1	STM1739	cls
NP_448158.1	STM1740	yciU
NP_460700.1	STM1741	NODATA
NP_460701.1	STM1742	oppF
NP_460702.1	STM1743	oppD
NP_460703.1	STM1744	oppC
NP_460704.1	STM1745	oppB
NP_460705.3	STM1746	oppA
NP_448165.1	STM1747	NODATA
NP_460707.1	STM1748	ychE
NP_460708.1	STM1749	adhE
NP_460709.1	STM1750	tdk
NP_460710.1	STM1751	hns
NP_460711.1	STM1752	galU
NP_460712.1	STM1753	hnr
NP_460713.1	STM1754	ychK
NP_460714.1	STM1755	ychJ
NP_460715.1	STM1756	purU
NP_460716.1	STM1760	NODATA
NP_460717.1	STM1761	narI
NP_460718.1	STM1762	narJ
NP_460719.1	STM1763	narH
NP_460720.1	STM1764	narG
NP_460721.1	STM1765	narK
NP_460722.1	STM1766	narX
NP_460723.1	STM1767	narL
NP_460724.3	STM1768	ychP
NP_460725.1	STM1769	ychN
NP_460726.1	STM1770	chaB
NP_460727.1	STM1771	chaA
NP_460728.1	STM1772	kdsA
NP_460729.1	STM1773	ychA
NP_460730.1	STM1774	sirC
NP_460731.1	STM1775	hemK
NP_460732.1	STM1776	prfA
NP_460733.1	STM1777	hemA
NP_460734.1	STM1778	lolB
NP_460735.1	STM1779	ipk
NP_460736.1	STM1780	prsA
NP_460737.3	STM1781	ychM
NP_460738.1	STM1782	ychH
NP_460739.3	STM1783	pth
NP_460740.1	STM1784	ychF
NP_460741.1	STM1785	NODATA
NP_460742.1	STM1786	NODATA
NP_460743.1	STM1787	NODATA
NP_460744.1	STM1788	NODATA
NP_460745.1	STM1789	NODATA
NP_460746.1	STM1790	NODATA
NP_460747.1	STM1791	NODATA
NP_460748.1	STM1792	NODATA
NP_460749.1	STM1793	NODATA
NP_460750.1	STM1794	NODATA
NP_460751.1	STM1795	NODATA
NP_460752.1	STM1796	treA
NP_460753.1	STM1797	ymgE
NP_460754.1	STM1798	ycgR
NP_460755.1	STM1799	emtA
NP_460756.1	STM1800	ycgQ
NP_460757.1	STM1801	ycgO
NP_460758.1	STM1802	dadX
NP_460759.1	STM1803	dadA
NP_460760.3	STM1804	ycgB
NP_460761.1	STM1805	fadR
NP_460762.1	STM1806	nhaB
NP_460763.1	STM1807	dsbB
NP_460764.1	STM1808	NODATA
NP_460765.1	STM1809	NODATA
NP_460766.1	STM1810	NODATA
NP_460767.3	STM1811	ycgN
NP_460768.1	STM1812	ycgM
NP_460769.1	STM1813	ycgL
NP_460770.1	STM1814	minC
NP_460771.1	STM1815	minD
NP_460772.1	STM1816	minE
NP_460773.1	STM1817	rnd
NP_460774.1	STM1818	fadD
NP_460775.1	STM1819	slp
NP_460776.1	STM1820	yeaZ
NP_460777.1	STM1821	yoaA
NP_460778.1	STM1822	yoaB
NP_460779.1	STM1823	yoaH
NP_460780.1	STM1824	pabB
NP_460781.1	STM1825	yeaB
NP_460782.1	STM1826	sdaA
NP_460783.3	STM1827	NODATA
NP_460784.2	STM1828	yoaE
NP_460785.1	STM1829	NODATA
NP_460786.1	STM1830	manX
NP_460787.1	STM1831	manY
NP_460788.1	STM1832	manZ
NP_460789.1	STM1833	NODATA
NP_460790.1	STM1834	yebN
NP_460791.1	STM1835	rrmA
NP_460792.1	STM1836	NODATA
NP_460793.1	STM1837	cspC
NP_460794.1	STM1838	yobF
NP_460795.1	STM1839	NODATA
NP_460796.1	STM1840	yobG
NP_460797.1	STM1841	NODATA
NP_460798.1	STM1842	kdgR
NP_460799.1	STM1843	NODATA
NP_460800.1	STM1844	htpX
NP_460801.1	STM1845	prc
NP_460802.1	STM1846	proQ
NP_460803.1	STM1847	yebR
NP_460804.1	STM1848	yebS
NP_460805.1	STM1849	NODATA
NP_460806.1	STM1850	yebU
NP_460807.1	STM1851	NODATA
NP_460808.1	STM1852	yebW
NP_460809.1	STM1853	prpA
NP_460810.1	STM1854	NODATA
NP_460811.1	STM1855	sopE2
NP_460812.1	STM1856	NODATA
NP_460813.1	STM1857	NODATA
NP_460814.1	STM1858	NODATA
NP_460815.3	STM1859	NODATA
NP_448275.1	STM1860	NODATA
NP_448276.1	STM1861	NODATA
NP_460818.1	STM1862	pagO
NP_460819.1	STM1863	NODATA
NP_460820.1	STM1864	NODATA
NP_448280.1	STM1865	NODATA
NP_460822.1	STM1867	pagK
NP_460823.1	STM1868	mig-3
NP_460824.1	STM1868A	NODATA
NP_460825.1	STM1869	NODATA
NP_460826.1	STM1869A	NODATA
NP_460827.1	STM1870	NODATA
NP_448287.1	STM1871	NODATA
NP_460829.1	STM1872	NODATA
NP_460830.1	STM1873	NODATA
NP_460831.1	STM1874	NODATA
NP_460832.1	STM1875	yobA
NP_460833.1	STM1876	holE
NP_460834.1	STM1877	NODATA
NP_460835.1	STM1878	exoX
NP_460836.1	STM1879	ptrB
NP_460837.1	STM1880	yebE
NP_460838.1	STM1881	yebF
NP_460839.1	STM1882	yebG
NP_460840.1	STM1883	purT
NP_460841.1	STM1884	eda
NP_460842.1	STM1885	edd
NP_460843.1	STM1886	zwf
NP_460844.1	STM1887	yebK
NP_460845.1	STM1888	pykA
NP_460846.1	STM1889	msbB
NP_460847.1	STM1890	yebA
NP_460848.3	STM1891	znuA
NP_460849.3	STM1892	znuC
NP_460850.1	STM1893	znuB
NP_460851.1	STM1894	ruvB
NP_460852.1	STM1895	ruvA
NP_460853.1	STM1896	NODATA
NP_460854.1	STM1897	yebB
NP_460855.1	STM1898	ruvC
NP_460856.1	STM1899	yebC
NP_460857.1	STM1900	ntpA
NP_460858.1	STM1901	aspS
NP_460859.1	STM1902	yecD
NP_460860.1	STM1903	yecE
NP_460861.1	STM1904	yecN
NP_460862.1	STM1905	yecO
NP_460863.1	STM1906	yecP
NP_460864.1	STM1907	cutC
NP_460865.1	STM1908	yecM
NP_460866.1	STM1909	argS
NP_460867.1	STM1910	NODATA
NP_460868.1	STM1911	NODATA
NP_460869.1	STM1912	flhE
NP_460870.1	STM1913	flhA
NP_460871.1	STM1914	flhB
NP_460872.1	STM1915	cheZ
NP_460873.1	STM1916	cheY
NP_460874.1	STM1917	cheB
NP_460875.1	STM1918	cheR
NP_460876.1	STM1919	cheM
NP_460877.1	STM1920	cheW
NP_460878.1	STM1921	cheA
NP_460879.1	STM1922	motB
NP_460880.1	STM1923	motA
NP_460881.3	STM1924	flhC
NP_460882.1	STM1925	flhD
NP_448342.1	STM1926	NODATA
NP_460884.1	STM1927	yecG
NP_460885.1	STM1928	otsA
NP_460886.1	STM1929	otsB
NP_460887.1	STM1931	araH
NP_460888.1	STM1932	ftnB
NP_460889.1	STM1933	NODATA
NP_460890.1	STM1934	NODATA
NP_460891.1	STM1935	ftn
NP_460892.1	STM1936	yecH
NP_460893.1	STM1937	tyrP
NP_460894.1	STM1938	yecA
NP_460895.1	STM1939	NODATA
NP_460896.1	STM1940	NODATA
NP_460897.1	STM1941	NODATA
NP_460898.1	STM1945	pgsA
NP_460899.1	STM1946	uvrC
NP_460900.1	STM1947	uvrY
NP_448360.1	STM1948	NODATA
NP_460902.1	STM1949	yecF
NP_460903.1	STM1950	sdiA
NP_460904.1	STM1951	yecC
NP_460905.1	STM1952	yecS
NP_460906.1	STM1953	yedO
NP_460907.1	STM1954	fliY
NP_460908.1	STM1955	fliZ
NP_460909.1	STM1956	fliA
NP_460910.3	STM1957	tnpA_2
NP_460911.1	STM1958	fliB
NP_460912.1	STM1959	fliC
NP_460913.1	STM1960	fliD
NP_460914.1	STM1961	fliS
NP_460915.1	STM1962	fliT
NP_460916.1	STM1963	amyA
NP_460917.1	STM1964	yedD
NP_460918.3	STM1965	yedE
NP_460919.1	STM1966	yedF
NP_448379.1	STM1967	NODATA
NP_460921.1	STM1968	fliE
NP_460922.1	STM1969	fliF
NP_460923.1	STM1970	fliG
NP_460924.1	STM1971	fliH
NP_460925.1	STM1972	fliI
NP_460926.1	STM1973	fliJ
NP_460927.1	STM1974	fliK
NP_460928.1	STM1975	fliL
NP_460929.1	STM1976	fliM
NP_460930.1	STM1977	fliN
NP_460931.3	STM1978	fliO
NP_460932.1	STM1979	fliP
NP_460933.1	STM1980	fliQ
NP_460934.1	STM1981	fliR
NP_460935.1	STM1982	rcsA
NP_460936.1	STM1984	yodD
NP_460937.1	STM1986	yedP
NP_460938.1	STM1987	NODATA
NP_460939.3	STM1988	NODATA
NP_460940.1	STM1989	yedI
NP_460941.1	STM1990	yedA
NP_460942.1	STM1991	vsr
NP_460943.1	STM1992	dcm
NP_460944.1	STM1993	yedJ
NP_460945.1	STM1994	NODATA
NP_460946.1	STM1995	ompS
NP_460947.1	STM1996	cspB
NP_460948.1	STM1997	umuC
NP_460949.1	STM1998	umuD
NP_460950.1	STM1999	NODATA
NP_460951.1	STM2001	yeeI
NP_460952.1	STM2005	NODATA
NP_448412.1	STM2006	NODATA
NP_460954.1	STM2007	NODATA
NP_460955.1	STM2008	NODATA
NP_460956.1	STM2009	amn
NP_448416.1	STM2010	NODATA
NP_460958.1	STM2011	NODATA
NP_460959.1	STM2013	yeeO
NP_460960.1	STM2015	erfK
NP_460961.1	STM2016	cobT
NP_460962.1	STM2017	cobS
NP_460963.1	STM2018	cobU
NP_460964.1	STM2019	cbiP
NP_460965.1	STM2020	cbiO
NP_460966.1	STM2021	cboQ
NP_460967.1	STM2022	cbiN
NP_460968.3	STM2023	cbiM
NP_460969.1	STM2024	cbiL
NP_460970.1	STM2025	cbiK
NP_460971.1	STM2026	cbiJ
NP_460972.1	STM2027	cbiH
NP_460973.1	STM2028	cbiG
NP_460974.1	STM2029	cbiF
NP_460975.1	STM2030	cbiT
NP_460976.1	STM2031	cbiE
NP_460977.1	STM2032	cbiD
NP_460978.1	STM2033	cbiC
NP_460979.1	STM2034	cibB
NP_460980.1	STM2035	cbiA
NP_460981.1	STM2036	pocR
NP_460982.1	STM2037	pduF
NP_460983.1	STM2038	pduA
NP_460984.3	STM2039	pudB
NP_460985.1	STM2040	pduC
NP_460986.1	STM2041	pduD
NP_460987.1	STM2042	pduE
NP_460988.1	STM2043	pduG
NP_460989.1	STM2044	pduH
NP_460990.1	STM2045	pduJ
NP_460991.3	STM2046	pduK
NP_460992.1	STM2047	pduL
NP_460993.1	STM2048	pduM
NP_460994.1	STM2049	pduN
NP_460995.1	STM2050	pduO
NP_460996.1	STM2051	pduP
NP_460997.1	STM2052	pduQ
NP_460998.1	STM2053	pduS
NP_460999.1	STM2054	pduT
NP_461000.1	STM2055	pduU
NP_461001.1	STM2056	pduV
NP_461002.1	STM2057	pduW
NP_461003.1	STM2058	pduX
NP_461004.1	STM2059	yeeX
NP_461005.1	STM2060	yeeA
NP_461006.1	STM2061	sbmC
NP_461007.1	STM2062	dacD
NP_461008.1	STM2063	phsC
NP_461009.1	STM2064	phsB
NP_461010.1	STM2065	phsA
NP_461011.1	STM2066	sopA
NP_461012.1	STM2067	sbcB
NP_461013.1	STM2068	yeeF
NP_461014.1	STM2069	yeeY
NP_461015.1	STM2070	yeeZ
NP_461016.1	STM2071	hisG
NP_461017.1	STM2072	hisD
NP_461018.1	STM2073	hisC
NP_461019.1	STM2074	hisB
NP_461020.3	STM2075	hisH
NP_461021.1	STM2076	hisA
NP_461022.1	STM2077	hisF
NP_461023.1	STM2078	hisI
NP_461024.1	STM2079	wzzB
NP_461025.1	STM2080	udg
NP_461026.1	STM2081	gnd
NP_461027.1	STM2082	rfbP
NP_461028.1	STM2083	rfbK
NP_461029.1	STM2084	rfbM
NP_461030.1	STM2085	rfbN
NP_461031.1	STM2086	rfbU
NP_461032.1	STM2087	rfbV
NP_461033.1	STM2088	rfbX
NP_461034.1	STM2089	rfbJ
NP_461035.1	STM2090	rfbH
NP_461036.1	STM2091	rfbG
NP_461037.1	STM2092	rfbF
NP_461038.1	STM2093	rfbI
NP_461039.1	STM2094	rfbC
NP_461040.1	STM2095	rfbA
NP_461041.1	STM2096	rfbD
NP_461042.1	STM2097	rfbB
NP_461043.1	STM2098	galF
NP_461044.1	STM2099	wcaM
NP_461045.1	STM2100	wcaL
NP_461046.1	STM2101	wcaK
NP_461047.1	STM2102	wzxC
NP_461048.1	STM2103	wcaJ
NP_461049.1	STM2104	cpsG
NP_461050.3	STM2105	manC
NP_461051.1	STM2106	wcaI
NP_461052.3	STM2107	wcaH
NP_461053.1	STM2108	wcaG
NP_461054.1	STM2109	gmd
NP_461055.1	STM2110	wcaF
NP_461056.1	STM2111	wcaE
NP_461057.1	STM2112	wcaD
NP_461058.1	STM2113	wcaC
NP_461059.1	STM2114	wcaB
NP_461060.1	STM2115	wcaA
NP_461061.1	STM2116	wzc
NP_461062.1	STM2117	wzb
NP_461063.1	STM2118	wza
NP_461064.1	STM2119	yegH
NP_461065.1	STM2120	asmA
NP_461066.1	STM2121	dcd
NP_461067.1	STM2122	udk
NP_461068.1	STM2123	yegE
NP_461069.1	STM2124	alkA
NP_461070.1	STM2125	yegD
NP_461071.1	STM2126	NODATA
NP_461072.1	STM2127	yegN
NP_461073.1	STM2128	yegO
NP_461074.1	STM2129	yegB
NP_461075.1	STM2130	baeS
NP_461076.1	STM2131	baeR
NP_461077.1	STM2133	NODATA
NP_461078.1	STM2134	NODATA
NP_461079.1	STM2135	NODATA
NP_461080.1	STM2136	yegQ
NP_461081.1	STM2137	NODATA
NP_461082.1	STM2138	NODATA
NP_461083.1	STM2139	NODATA
NP_461084.1	STM2140	yegS
NP_461085.1	STM2141	fbaB
NP_461086.1	STM2142	yegT
NP_461087.1	STM2143	yegU
NP_461088.1	STM2144	yegV
NP_461089.1	STM2145	yegW
NP_461090.1	STM2146	thiD
NP_461091.1	STM2147	thiM
NP_461092.1	STM2148	NODATA
NP_461093.1	STM2149	stcD
NP_461094.1	STM2150	stcC
NP_461095.1	STM2151	stcB
NP_461096.1	STM2152	stcA
NP_461097.1	STM2153	yehE
NP_461098.1	STM2154	mrp
NP_461099.1	STM2155	metG
NP_461100.1	STM2156	yehR
NP_461101.1	STM2156A	NODATA
NP_461102.1	STM2157	yehS
NP_461103.1	STM2158	yehT
NP_461104.1	STM2159	yehU
NP_461105.1	STM2160	yehV
NP_461106.1	STM2161	NODATA
NP_461107.1	STM2162	yehW
NP_461108.1	STM2163	yehX
NP_461109.1	STM2164	yehY
NP_461110.1	STM2165	yehZ
NP_461111.1	STM2166	bglX
NP_461112.1	STM2167	dld
NP_461113.1	STM2168	pbpG
NP_461114.1	STM2169	yohC
NP_461115.1	STM2170	yohD
NP_461116.1	STM2171	yohF
NP_461117.1	STM2172	yohG
NP_448577.2	STM2173	NODATA
NP_461119.1	STM2174	yohI
NP_461120.1	STM2175	NODATA
NP_461121.1	STM2176	NODATA
NP_461122.1	STM2177	NODATA
NP_461123.1	STM2178	NODATA
NP_461124.1	STM2179	NODATA
NP_461125.1	STM2180	NODATA
NP_461126.1	STM2181	yohJ
NP_461127.1	STM2182	yohK
NP_461128.1	STM2183	cdd
NP_461129.1	STM2184	sanA
NP_461130.1	STM2185	b2145
NP_461131.1	STM2186	NODATA
NP_461132.1	STM2187	yeiA
NP_461133.1	STM2188	mglC
NP_461134.1	STM2189	mglA
NP_461135.1	STM2190	mglB
NP_461136.1	STM2191	galS
NP_461137.1	STM2192	yeiB
NP_461138.1	STM2193	folE
NP_461139.2	STM2194	yeiG
NP_461140.1	STM2195	NODATA
NP_461141.1	STM2196	NODATA
NP_461142.1	STM2197	NODATA
NP_461143.1	STM2198	NODATA
NP_461144.1	STM2199	cirA
NP_461145.1	STM2200	lysP
NP_461146.1	STM2201	yeiE
NP_461147.1	STM2202	yeiH
NP_461148.1	STM2203	nfo
NP_461149.1	STM2204	fruA
NP_461150.1	STM2205	fruK
NP_461151.1	STM2206	fruF
NP_461152.1	STM2207	setB
NP_461153.1	STM2208	NODATA
NP_461154.1	STM2209	NODATA
NP_461155.3	STM2211	yeiP
NP_461156.1	STM2212	yeiR
NP_461157.1	STM2213	yeiU
NP_461158.1	STM2214	spr
NP_461159.1	STM2215	rtn
NP_461160.1	STM2216	yejA
NP_461161.1	STM2217	yejB
NP_461162.1	STM2218	yejE
NP_461163.1	STM2219	yejF
NP_461164.1	STM2220	yejG
NP_461165.1	STM2221	bcr
NP_461166.1	STM2222	rsuA
NP_461167.1	STM2223	yejH
NP_461168.1	STM2224	rplY
NP_461169.1	STM2225	NODATA
NP_461170.1	STM2226	yejK
NP_461171.1	STM2227	yejL
NP_461172.1	STM2228	yejM
NP_461173.3	STM2230	NODATA
NP_461174.1	STM2231	NODATA
NP_461175.1	STM2232	oafA
NP_461176.1	STM2233	NODATA
NP_461177.1	STM2234	NODATA
NP_461178.1	STM2235	NODATA
NP_461179.1	STM2236	NODATA
NP_461180.1	STM2237	NODATA
NP_461181.1	STM2238	NODATA
NP_461182.1	STM2239	NODATA
NP_461183.1	STM2240	NODATA
NP_461184.1	STM2241	sspH2
NP_461185.1	STM2242	NODATA
NP_461186.1	STM2243	NODATA
NP_461187.1	STM2244	NODATA
NP_461188.1	STM2245	NODATA
NP_461189.1	STM2246	narP
NP_461190.1	STM2247	ccmH
NP_461191.1	STM2248	ccmG
NP_461192.1	STM2249	ccmF
NP_461193.1	STM2250	ccmE
NP_461194.1	STM2251	ccmD
NP_461195.1	STM2252	ccmC
NP_461196.1	STM2253	ccmB
NP_461197.1	STM2254	ccmA
NP_461198.1	STM2255	napC
NP_461199.1	STM2256	napB
NP_461200.1	STM2257	napH
NP_461201.1	STM2258	napG
NP_461202.1	STM2259	napA
NP_461203.1	STM2260	napD
NP_461204.1	STM2261	napF
NP_461205.1	STM2262	eco
NP_461206.1	STM2263	yojI
NP_461207.1	STM2264	alkB
NP_461208.1	STM2265	ada
NP_461209.1	STM2266	apbE
NP_461210.1	STM2267	ompC
NP_461211.1	STM2269	yojN
NP_461212.1	STM2270	rcsB
NP_461213.1	STM2271	rcsC
NP_461214.1	STM2272	gyrA
NP_461215.1	STM2273	NODATA
NP_461216.1	STM2274	NODATA
NP_461217.3	STM2275	NODATA
NP_461218.1	STM2276	ubiG
NP_461219.1	STM2277	nrdA
NP_461220.1	STM2278	nrdB
NP_461221.1	STM2279	yfaE
NP_461222.1	STM2280	NODATA
NP_461223.1	STM2281	NODATA
NP_461224.1	STM2282	glpQ
NP_461225.1	STM2283	glpT
NP_461226.1	STM2284	glpA
NP_461227.1	STM2285	glpB
NP_461228.1	STM2286	glpC
NP_461229.3	STM2287	NODATA
NP_461230.1	STM2288	NODATA
NP_461231.1	STM2289	NODATA
NP_461232.1	STM2290	yfaV
NP_461233.1	STM2291	yfaW
NP_461234.1	STM2292	yfaX
NP_461235.1	STM2293	NODATA
NP_461236.1	STM2294	yfaZ
NP_461237.1	STM2295	yfaO
NP_461238.1	STM2296	ais
NP_461239.3	STM2297	yfbE
NP_461240.1	STM2298	pmrF
NP_461241.1	STM2299	yfbG
NP_461242.1	STM2300	NODATA
NP_461243.1	STM2301	pqaB
NP_461244.1	STM2302	NODATA
NP_461245.1	STM2303	NODATA
NP_461246.1	STM2304	pmrD
NP_461247.1	STM2305	menE
NP_461248.1	STM2306	menC
NP_461249.1	STM2307	menB
NP_461250.1	STM2308	yfbB
NP_461251.1	STM2309	menD
NP_461252.1	STM2310	menF
NP_461253.3	STM2311	elaB
NP_461254.1	STM2312	elaA
NP_461255.1	STM2313	elaC
NP_461256.1	STM2314	NODATA
NP_461257.1	STM2315	yfbK
NP_461258.3	STM2316	nuoN
NP_461259.1	STM2317	nuoM
NP_461260.1	STM2318	nuoL
NP_461261.1	STM2319	nuoK
NP_461262.1	STM2320	nuoJ
NP_461263.1	STM2321	nuoI
NP_461264.1	STM2322	nuoH
NP_461265.3	STM2323	nuoG
NP_461266.1	STM2324	nuoF
NP_461267.1	STM2325	nuoE
NP_461268.1	STM2326	nuoC
NP_461269.1	STM2327	nuoB
NP_461270.1	STM2328	nuoA
NP_461271.1	STM2329	NODATA
NP_461272.1	STM2330	lrhA
NP_461273.1	STM2331	yfbQ
NP_461274.1	STM2332	NODATA
NP_461275.1	STM2333	yfbS
NP_461276.3	STM2334	yfbT
NP_461277.1	STM2335	yfbU
NP_461278.1	STM2336	NODATA
NP_461279.1	STM2337	ackA
NP_461280.1	STM2338	pta
NP_461281.1	STM2339	yfcC
NP_461282.1	STM2340	NODATA
NP_461283.1	STM2341	NODATA
NP_461284.3	STM2342	NODATA
NP_461285.1	STM2343	NODATA
NP_461286.1	STM2344	NODATA
NP_461287.1	STM2345	NODATA
NP_461288.1	STM2346	NODATA
NP_461289.1	STM2347	yfcE
NP_461290.1	STM2348	yfcF
NP_461291.1	STM2349	yfcG
NP_461292.1	STM2350	yfcH
NP_461293.1	STM2351	hisP
NP_461294.1	STM2352	hisM
NP_461295.1	STM2353	hisQ
NP_461296.1	STM2354	hisJ
NP_461297.1	STM2355	argT
NP_461298.1	STM2356	ubiX
NP_461299.1	STM2357	NODATA
NP_461300.1	STM2358	NODATA
NP_461301.1	STM2359	NODATA
NP_461302.1	STM2360	NODATA
NP_461303.1	STM2361	NODATA
NP_461304.1	STM2362	purF
NP_461305.1	STM2363	cvpA
NP_461306.1	STM2364	dedD
NP_461307.1	STM2365	folC
NP_461308.1	STM2366	accD
NP_461309.1	STM2367	dedA
NP_461310.1	STM2368	truA
NP_461311.1	STM2369	usg
NP_461312.1	STM2370	pdxB
NP_461313.1	STM2371	flk
NP_461314.1	STM2372	NODATA
NP_461315.1	STM2373	NODATA
NP_461316.1	STM2374	NODATA
NP_461317.1	STM2375	NODATA
NP_461318.1	STM2376	NODATA
NP_461319.1	STM2377	NODATA
NP_461320.1	STM2378	fabB
NP_461321.3	STM2379	NODATA
NP_461322.1	STM2380	yfcL
NP_461323.1	STM2381	yfcM
NP_461324.1	STM2382	yfcA
NP_461325.1	STM2383	mepA
NP_461326.1	STM2384	aroC
NP_461327.1	STM2385	yfcB
NP_461328.1	STM2386	yfcN
NP_461329.1	STM2387	sixA
NP_461330.1	STM2388	yfcX
NP_461331.2	STM2389	yfcY
NP_461332.1	STM2390	yfcZ
NP_461333.1	STM2391	fadL
NP_461334.1	STM2392	vacJ
NP_461335.1	STM2393	yfdC
NP_461336.1	STM2395	pgtE
NP_461337.1	STM2396	pgtA
NP_461338.1	STM2397	pgtB
NP_461339.1	STM2398	pgtC
NP_461340.1	STM2399	pgtP
NP_461341.1	STM2400	NODATA
NP_461342.1	STM2401	ddg
NP_461343.1	STM2402	yfdZ
NP_461344.1	STM2403	glk
NP_461345.1	STM2404	NODATA
NP_461346.1	STM2405	NODATA
NP_461347.1	STM2406	NODATA
NP_461348.1	STM2407	ypeC
NP_461349.1	STM2408	mntH
NP_461350.1	STM2409	nupC
NP_461351.1	STM2410	yfeA
NP_461352.1	STM2413	yfeC
NP_461353.1	STM2414	yfeD
NP_461354.1	STM2415	gltX
NP_461355.1	STM2420	xapR
NP_461356.1	STM2421	xapB
NP_448816.1	STM2422	xapA
NP_461358.1	STM2423	yfeN
NP_461359.1	STM2424	yfeR
NP_461360.2	STM2425	yfeH
NP_461361.3	STM2426	NODATA
NP_461362.1	STM2427	lig
NP_461363.1	STM2428	zipA
NP_461364.1	STM2429	cysZ
NP_461365.1	STM2430	cysK
NP_461366.1	STM2431	ptsH
NP_461367.1	STM2432	ptsI
NP_461368.1	STM2433	crr
NP_461369.1	STM2434	NODATA
NP_461370.1	STM2435	pdxK
NP_461371.1	STM2436	ptsJ
NP_461372.1	STM2437	yfeJ
NP_461373.2	STM2438	yfeK
NP_461374.1	STM2439	yfeL
NP_461375.1	STM2440	cysM
NP_461376.1	STM2441	cysA
NP_461377.1	STM2442	cysW
NP_461378.1	STM2443	cysU
NP_461379.1	STM2444	cysP
NP_461380.1	STM2445	ucpA
NP_461381.1	STM2446	NODATA
NP_461382.1	STM2447	NODATA
NP_461383.1	STM2448	yfeZ
NP_461384.3	STM2449	NODATA
NP_461385.1	STM2450	amiA
NP_461386.1	STM2451	hemF
NP_461387.1	STM2452	NODATA
NP_461388.1	STM2453	NODATA
NP_461389.1	STM2454	eutR
NP_461390.1	STM2455	eutK
NP_461391.1	STM2456	eutL
NP_461392.1	STM2457	eutC
NP_461393.1	STM2458	eutB
NP_461394.1	STM2459	eutA
NP_461395.1	STM2460	eutH
NP_461396.1	STM2461	eutG
NP_461397.1	STM2462	eutJ
NP_461398.1	STM2463	eutE
NP_461399.3	STM2464	eutN
NP_461400.1	STM2465	eutM
NP_461401.1	STM2466	eutD
NP_461402.1	STM2467	eutT
NP_461403.1	STM2468	eutQ
NP_461404.1	STM2469	eutP
NP_461405.1	STM2470	eutS
NP_461406.1	STM2471	tnpA_3
